,tweetid,userid,screen_name,date,lang,location,text,tweet_type,followers_count,favourites_count,verified,hashtag,urls_list,account_creation_date,mentionid,mentionsn,rt_userid
41,1219966779138740225,1209483347635900416,holly02375824,wed jan 22 12:55:20 +0000 2020,en,,"rt @lotusoak2: children less protected by whooping cough #vaccine than they once were, cdc warns

https://t.co/mpo4mtciig

#learntherisk #v…",retweeted_tweet_without_comment,107,3647,false,"[vaccine, learntherisk]","[{'url': 'https://t.co/mpo4mtciig', 'expanded_url': 'https://www.usatoday.com/story/life/allthemoms/2019/03/14/whooping-cough-vaccine-less-effective-cdc-warns-as-outbreaks-hit-schools/3161859002/', 'display_url': 'usatoday.com/story/life/all…', 'indices': [98, 121]}]",tue dec 24 14:38:25 +0000 2019,[424664120],['lotusoak2'],424664120.0
250,1219961520530108416,1218721407917547520,law610439626,wed jan 22 12:34:26 +0000 2020,en,,"rt @lotusoak2: children less protected by whooping cough #vaccine than they once were, cdc warns

https://t.co/mpo4mtciig

#learntherisk #v…",retweeted_tweet_without_comment,320,6070,false,"[vaccine, learntherisk]","[{'url': 'https://t.co/mpo4mtciig', 'expanded_url': 'https://www.usatoday.com/story/life/allthemoms/2019/03/14/whooping-cough-vaccine-less-effective-cdc-warns-as-outbreaks-hit-schools/3161859002/', 'display_url': 'usatoday.com/story/life/all…', 'indices': [98, 121]}]",sun jan 19 02:26:55 +0000 2020,[424664120],['lotusoak2'],424664120.0
647,1219968051812208641,2956999744,labrisbogabaka,wed jan 22 13:00:24 +0000 2020,en,niš,"rt @lotusoak2: children less protected by whooping cough #vaccine than they once were, cdc warns

https://t.co/mpo4mtciig

#learntherisk #v…",retweeted_tweet_without_comment,844,61786,false,"[vaccine, learntherisk]","[{'url': 'https://t.co/mpo4mtciig', 'expanded_url': 'https://www.usatoday.com/story/life/allthemoms/2019/03/14/whooping-cough-vaccine-less-effective-cdc-warns-as-outbreaks-hit-schools/3161859002/', 'display_url': 'usatoday.com/story/life/all…', 'indices': [98, 121]}]",fri jan 02 17:34:48 +0000 2015,[424664120],['lotusoak2'],424664120.0
1426,1220025742081318913,1108055156803948556,nih_llamas,wed jan 22 16:49:38 +0000 2020,en,"washington, d.c ",rt @aboutpediatrics: is anyone surprised that anti-vax folks already have a conspiracy theory about 2019-ncov? #stopantivaxpropaganda https…,retweeted_tweet_without_comment,146,4269,false,[stopantivaxpropaganda],[],tue mar 19 17:18:30 +0000 2019,[36402257],['aboutpediatrics'],36402257.0
1461,1220024634105630721,36402257,aboutpediatrics,wed jan 22 16:45:14 +0000 2020,en,"texas, usa",is anyone surprised that anti-vax folks already have a conspiracy theory about 2019-ncov? #stopantivaxpropaganda… https://t.co/ktx9irgknx,original,3581,3875,false,[stopantivaxpropaganda],"[{'url': 'https://t.co/ktx9irgknx', 'expanded_url': 'https://twitter.com/i/web/status/1220024634105630721', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [114, 137]}]",wed apr 29 16:38:24 +0000 2009,[],[],
1555,1220031081040285696,23741060,obsessivelyme,wed jan 22 17:10:51 +0000 2020,en,,rt @aboutpediatrics: is anyone surprised that anti-vax folks already have a conspiracy theory about 2019-ncov? #stopantivaxpropaganda https…,retweeted_tweet_without_comment,4520,198031,false,[stopantivaxpropaganda],[],wed mar 11 09:28:06 +0000 2009,[36402257],['aboutpediatrics'],36402257.0
1594,1220029935135469569,1203739301336489984,onevaxxednurse,wed jan 22 17:06:18 +0000 2020,en,,rt @aboutpediatrics: is anyone surprised that anti-vax folks already have a conspiracy theory about 2019-ncov? #stopantivaxpropaganda https…,retweeted_tweet_without_comment,248,3306,false,[stopantivaxpropaganda],[],sun dec 08 18:13:39 +0000 2019,[36402257],['aboutpediatrics'],36402257.0
1670,1220054149833854976,593289567,peterhotez,wed jan 22 18:42:31 +0000 2020,en,"montrose, houston tx","@provaxtexan i guess #antivax thinks it's a bad idea to make vaccines for sars, mers, and now the new ncov emerging… https://t.co/1pqr1efvpk",reply,24262,15364,false,[antivax],"[{'url': 'https://t.co/1pqr1efvpk', 'expanded_url': 'https://twitter.com/i/web/status/1220054149833854976', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",tue may 29 00:46:55 +0000 2012,[16356624],['provaxtexan'],
1086,1220100972547952640,180836813,juliegirl10865,wed jan 22 21:48:34 +0000 2020,en,,"rt @lotusoak2: silent epidemic: the untold story of #vaccines - part 2

https://t.co/e0xpw3tsed
#learntherisk #vaccineinjury #hpv",retweeted_tweet_without_comment,10462,10049,false,"[vaccines, learntherisk, vaccineinjury, hpv]","[{'url': 'https://t.co/e0xpw3tsed', 'expanded_url': 'https://videopress.com/v/fqfxdot0', 'display_url': 'videopress.com/v/fqfxdot0', 'indices': [72, 95]}]",fri aug 20 16:26:57 +0000 2010,[424664120],['lotusoak2'],424664120.0
1090,1220100946270670848,3312474896,aashishkan,wed jan 22 21:48:28 +0000 2020,en,"kanpur, india","rt @lotusoak2: silent epidemic: the untold story of #vaccines - part 2

https://t.co/e0xpw3tsed
#learntherisk #vaccineinjury #hpv",retweeted_tweet_without_comment,696,26465,false,"[vaccines, learntherisk, vaccineinjury, hpv]","[{'url': 'https://t.co/e0xpw3tsed', 'expanded_url': 'https://videopress.com/v/fqfxdot0', 'display_url': 'videopress.com/v/fqfxdot0', 'indices': [72, 95]}]",tue aug 11 13:57:39 +0000 2015,[424664120],['lotusoak2'],424664120.0
