tweetid,userid,screen_name,date,lang,location,text,tweet_type,followers_count,favourites_count,verified,hashtag,urls_list,account_creation_date,mentionid,mentionsn,rt_screen,rt_userid,rt_rt_count,rt_fav_count,rt_tweetid
1274284691835645955,1060146071672942592,debalwaystrump3,sat jun 20 10:15:20 +0000 2020,en,"florida, usa","rt @bbusa617: biden rally 😂 14 people showed up , and fake ""@foxnews"" poll says biden is ahead.... 😂😂😂  @realdonaldtrump #qanon https://t.c…",retweeted_tweet_without_comment,5526,14331,false,[qanon],[],wed nov 07 12:24:54 +0000 2018,"[1674315427, 1367531, 25073877]","['bbusa617', 'foxnews', 'realdonaldtrump']",bbusa617,1674315427.0,1029,1397,1.2741046460518113e+18
1274284901035118592,1242234060560379904,marvin93787684,sat jun 20 10:16:10 +0000 2020,und,,rt @misshollyjb: @realdonaldtrump #wwg1wga #wrwy #trumpvictory #qanon #godwins https://t.co/gdt6gl4v1m,retweeted_tweet_without_comment,18,157,false,"[wwg1wga, wrwy, trumpvictory, qanon, godwins]",[],mon mar 23 23:37:48 +0000 2020,"[35160314, 25073877]","['misshollyjb', 'realdonaldtrump']",misshollyjb,35160314.0,1,2,1.2742846438653338e+18
1274285064520634371,1027853096318324736,sodergurli,sat jun 20 10:16:49 +0000 2020,en,,"rt @bbusa617: biden rally 😂 14 people showed up , and fake ""@foxnews"" poll says biden is ahead.... 😂😂😂  @realdonaldtrump #qanon https://t.c…",retweeted_tweet_without_comment,376,52546,false,[qanon],[],fri aug 10 09:44:09 +0000 2018,"[1674315427, 1367531, 25073877]","['bbusa617', 'foxnews', 'realdonaldtrump']",bbusa617,1674315427.0,1030,1400,1.2741046460518113e+18
1274285280221179906,3397401585,mimiinftworth,sat jun 20 10:17:40 +0000 2020,en,united states,"rt @bbusa617: biden rally 😂 14 people showed up , and fake ""@foxnews"" poll says biden is ahead.... 😂😂😂  @realdonaldtrump #qanon https://t.c…",retweeted_tweet_without_comment,18262,189620,false,[qanon],[],fri jul 31 17:48:14 +0000 2015,"[1674315427, 1367531, 25073877]","['bbusa617', 'foxnews', 'realdonaldtrump']",bbusa617,1674315427.0,1031,1400,1.2741046460518113e+18
1274285284423864320,371923973,bereantype,sat jun 20 10:17:41 +0000 2020,en,,"just beyond the frequency of what human eyes can detect lies god's messengers (angels [the good ones]) &amp; i bet when believers get to heaven, it will be revealed how much they protected us #jesus #bible #manna #kag2020 #wwg1wga #qanon @realdonaldtrump @1breathaway2u @sandratownley https://t.co/drckfyrs2j",original,1210,7325,false,"[jesus, bible, manna, kag2020, wwg1wga, qanon]",[],sun sep 11 19:39:30 +0000 2011,[],[],,,0,0,
1274286275747602432,1074449158038323201,loulou_0252,sat jun 20 10:21:37 +0000 2020,en,u.k.,rt @jasminewwg1wga: how ironic @realdonaldtrump #wwg1wga #qanon #godwins #nothingcanstopwhatiscoming #patriosinconrol #lovewins https://t.c…,retweeted_tweet_without_comment,1880,15902,false,"[wwg1wga, qanon, godwins, nothingcanstopwhatiscoming, patriosinconrol, lovewins]",[],sun dec 16 23:40:16 +0000 2018,"[1244982334513991680, 25073877]","['jasminewwg1wga', 'realdonaldtrump']",jasminewwg1wga,1.2449823345139917e+18,4,4,1.2742780469174108e+18
1274286478365876226,104869945,hibharat,sat jun 20 10:22:26 +0000 2020,ja,,rt @ototoi_kiyagare: fワード連発の下劣極まりない「平和的な抗議デモ隊」のチンピラを@realdonaldtrump サポーターの黒人男性が冷静に制止👍 #qanon #qajflynn @okabaeri9111 #qmapjapan #wwg1wga…,retweeted_tweet_without_comment,971,6521,false,"[qanon, qajflynn, qmapjapan, wwg1wga]",[],thu jan 14 17:13:23 +0000 2010,"[102304238, 25073877, 1086230647100792832]","['ototoi_kiyagare', 'realdonaldtrump', 'okabaeri9111']",ototoi_kiyagare,102304238.0,21,23,1.2742684726675907e+18
1274286635258167299,943880943554744320,s_a_patriot,sat jun 20 10:23:03 +0000 2020,en,,#qanon #maga #theawakening #takebackcontrol #factsmatter #sheepnomore #msaga @realdonaldtrump  #qanonsouthafrica  the internet slams cnn for erecting protective barrier at headquarters: 'cnn built a wall'   https://t.co/ak15d5j6a6,original,3817,2421,false,"[qanon, maga, theawakening, takebackcontrol, factsmatter, sheepnomore, msaga, qanonsouthafrica]","[{'url': 'https://t.co/ak15d5j6a6', 'expanded_url': 'https://www.theblaze.com/news/cnn-headquarters-fence-wall-reactions', 'display_url': 'theblaze.com/news/cnn-headq…', 'indices': [207, 230]}]",thu dec 21 16:28:48 +0000 2017,[25073877],['realdonaldtrump'],,,0,0,
1274286910299463680,1081634619340935168,jennife53779251,sat jun 20 10:24:09 +0000 2020,en,,"rt @bbusa617: biden rally 😂 14 people showed up , and fake ""@foxnews"" poll says biden is ahead.... 😂😂😂  @realdonaldtrump #qanon https://t.c…",retweeted_tweet_without_comment,244,28718,false,[qanon],[],sat jan 05 19:32:43 +0000 2019,"[1674315427, 1367531, 25073877]","['bbusa617', 'foxnews', 'realdonaldtrump']",bbusa617,1674315427.0,1032,1402,1.2741046460518113e+18
1274287029510004736,991236184310300672,colleenv89,sat jun 20 10:24:37 +0000 2020,en,united states,rt @s_a_patriot: #qanon #maga #theawakening #takebackcontrol #factsmatter #sheepnomore #msaga @realdonaldtrump  #qanonsouthafrica  the inte…,retweeted_tweet_without_comment,13036,65516,false,"[qanon, maga, theawakening, takebackcontrol, factsmatter, sheepnomore, msaga, qanonsouthafrica]",[],tue may 01 08:41:37 +0000 2018,"[943880943554744320, 25073877]","['s_a_patriot', 'realdonaldtrump']",s_a_patriot,9.438809435547443e+17,1,0,1.2742866352581673e+18
1274287032664305664,360994946,bsegulin,sat jun 20 10:24:38 +0000 2020,en,"ohio, usa","rt @bbusa617: biden rally 😂 14 people showed up , and fake ""@foxnews"" poll says biden is ahead.... 😂😂😂  @realdonaldtrump #qanon https://t.c…",retweeted_tweet_without_comment,600,24799,false,[qanon],[],wed aug 24 02:36:50 +0000 2011,"[1674315427, 1367531, 25073877]","['bbusa617', 'foxnews', 'realdonaldtrump']",bbusa617,1674315427.0,1033,1403,1.2741046460518113e+18
